City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2022-05-10 02:41:18,-33.65,115.3333,67.41,62,1,3.76
1,Yellowknife,CA,2022-05-10 02:38:56,62.456,-114.3525,23.56,74,100,19.57
2,Port Alfred,ZA,2022-05-10 02:41:19,-33.5906,26.891,60.51,73,91,4.61
3,Ushuaia,AR,2022-05-10 02:40:22,-54.8,-68.3,42.46,75,40,11.5
4,Sioux Lookout,CA,2022-05-10 02:41:19,50.1001,-91.917,51.87,93,75,10.36
5,Comodoro Rivadavia,AR,2022-05-10 02:41:20,-45.8667,-67.5,53.46,43,0,12.66
6,Shestakovo,RU,2022-05-10 02:41:20,56.4915,103.96,40.33,37,94,9.26
7,Yulara,AU,2022-05-10 02:41:21,-25.2406,130.9889,66.04,34,0,10.36
8,Rikitea,PF,2022-05-10 02:41:21,-23.1203,-134.9692,76.62,70,33,11.61
9,Bluff,NZ,2022-05-10 02:41:22,-46.6,168.3333,52.81,61,57,2.86
10,Ketchikan,US,2022-05-10 02:37:13,55.3422,-131.6461,57.67,58,0,12.66
11,Catuday,PH,2022-05-10 02:41:23,16.2923,119.8062,85.26,63,2,7.2
12,Havelock,US,2022-05-10 02:39:11,34.8791,-76.9013,59.0,45,75,14.97
13,Chicama,PE,2022-05-10 02:41:23,-7.8447,-79.1469,59.54,88,44,4.5
14,Krasnoselkup,RU,2022-05-10 02:41:24,65.7,82.4667,35.35,100,100,11.56
15,Butaritari,KI,2022-05-10 02:41:24,3.0707,172.7902,81.59,74,9,19.01
16,Rocha,UY,2022-05-10 02:41:25,-34.4833,-54.3333,55.94,95,100,1.48
17,Qui Nhon,VN,2022-05-10 02:41:25,13.7667,109.2333,84.11,71,72,7.99
18,Faanui,PF,2022-05-10 02:41:26,-16.4833,-151.75,81.97,75,10,15.68
19,Tuatapere,NZ,2022-05-10 02:41:26,-46.1333,167.6833,51.57,64,31,4.14
20,Barrow,US,2022-05-10 02:41:27,71.2906,-156.7887,30.22,86,100,14.97
21,Sangar,RU,2022-05-10 02:41:27,63.9242,127.4739,28.49,62,7,15.48
22,Atuona,PF,2022-05-10 02:41:28,-9.8,-139.0333,78.67,77,20,20.49
23,Guanare,VE,2022-05-10 02:41:28,9.0418,-69.7421,78.82,100,100,0.0
24,Necochea,AR,2022-05-10 02:41:29,-38.5473,-58.7368,48.63,81,31,8.01
25,Souillac,MU,2022-05-10 02:41:29,-20.5167,57.5167,71.98,100,75,5.75
26,Punta Arenas,CL,2022-05-10 02:39:05,-53.15,-70.9167,41.11,81,20,6.91
27,Provideniya,RU,2022-05-10 02:41:30,64.3833,-173.3,36.25,59,3,6.91
28,Panuco,MX,2022-05-10 02:41:30,22.05,-98.1667,82.58,82,1,10.2
29,Carnarvon,AU,2022-05-10 02:41:31,-24.8667,113.6333,78.87,50,100,4.61
30,Nikolskoye,RU,2022-05-10 02:41:32,59.7035,30.7861,39.87,72,25,4.36
31,Dikson,RU,2022-05-10 02:41:32,73.5069,80.5464,19.09,88,12,17.78
32,Avarua,CK,2022-05-10 02:41:33,-21.2078,-159.775,84.25,79,75,5.75
33,Shahrud,IR,2022-05-10 02:41:33,36.4182,54.9763,54.57,54,0,5.57
34,Arraial Do Cabo,BR,2022-05-10 02:41:34,-22.9661,-42.0278,71.31,68,0,3.38
35,Beringovskiy,RU,2022-05-10 02:41:34,63.05,179.3167,37.09,80,100,6.15
36,Helong,CN,2022-05-10 02:41:34,42.5397,128.9972,75.38,15,3,5.97
37,Puksoozero,RU,2022-05-10 02:41:35,62.5903,40.6066,36.18,66,0,2.19
38,East London,ZA,2022-05-10 02:41:35,-33.0153,27.9116,60.98,66,37,4.59
39,Hobart,AU,2022-05-10 02:39:22,-42.8794,147.3294,64.26,59,0,10.36
40,Khatanga,RU,2022-05-10 02:41:36,71.9667,102.5,33.33,100,100,15.84
41,Saint-Philippe,RE,2022-05-10 02:41:37,-21.3585,55.7679,69.39,71,4,6.58
42,Lagoa,PT,2022-05-10 02:41:37,39.05,-27.9833,61.92,87,91,3.31
43,Vaini,TO,2022-05-10 02:41:38,-21.2,-175.2,78.96,53,20,8.05
44,Srednekolymsk,RU,2022-05-10 02:41:38,67.45,153.6833,33.26,81,100,18.79
45,Praia,CV,2022-05-10 02:41:38,14.9215,-23.5087,70.34,83,20,14.97
46,Mataura,NZ,2022-05-10 02:41:39,-46.1927,168.8643,52.48,65,46,2.71
47,Goiatuba,BR,2022-05-10 02:42:39,-18.0125,-49.3547,65.95,59,11,4.81
48,Saint George,US,2022-05-10 02:38:25,37.1041,-113.5841,70.39,14,0,16.11
49,Quatre Cocos,MU,2022-05-10 02:42:40,-20.2078,57.7625,74.08,81,44,8.9
50,Tessalit,ML,2022-05-10 02:42:41,20.1986,1.0114,74.48,9,0,10.36
51,Seoul,KR,2022-05-10 02:42:12,37.5683,126.9778,72.97,23,0,6.91
52,Bredasdorp,ZA,2022-05-10 02:42:41,-34.5322,20.0403,51.15,84,95,3.11
53,Bathsheba,BB,2022-05-10 02:42:42,13.2167,-59.5167,81.21,74,40,13.8
54,Cabra,ES,2022-05-10 02:42:42,37.4725,-4.4421,60.66,64,60,5.01
55,Georgetown,MY,2022-05-10 02:38:44,5.4112,100.3354,87.73,83,20,3.44
56,Palana,RU,2022-05-10 02:42:43,59.1167,159.9667,33.71,98,100,9.95
57,Port Keats,AU,2022-05-10 02:42:44,-14.25,129.55,89.13,39,98,9.57
58,Les Cayes,HT,2022-05-10 02:42:44,18.2,-73.75,75.36,81,0,5.03
59,Thompson,CA,2022-05-10 02:41:42,55.7435,-97.8558,57.36,62,75,2.3
60,Bethel,US,2022-05-10 02:42:45,41.3712,-73.414,56.25,14,0,8.05
61,San Quintin,MX,2022-05-10 02:42:45,30.4833,-115.95,58.33,71,0,20.2
62,Lasa,IT,2022-05-10 02:42:46,46.6166,10.7002,48.36,89,22,2.08
63,Plettenberg Bay,ZA,2022-05-10 02:42:46,-34.0527,23.3716,56.86,69,58,3.02
64,Saldanha,ZA,2022-05-10 02:42:47,-33.0117,17.9442,41.05,79,100,3.58
65,Preobrazheniye,RU,2022-05-10 02:42:47,42.9019,133.9064,61.83,43,3,14.32
66,Hobyo,SO,2022-05-10 02:42:48,5.3505,48.5268,81.95,68,66,6.22
67,Kapaa,US,2022-05-10 02:42:48,22.0752,-159.319,82.38,73,40,12.66
68,Almenara,BR,2022-05-10 02:42:49,-16.1836,-40.6944,66.43,95,30,2.01
69,Saskylakh,RU,2022-05-10 02:42:50,71.9167,114.0833,32.68,100,100,10.22
70,Lebu,CL,2022-05-10 02:42:50,-37.6167,-73.65,52.52,90,100,13.69
71,Kahului,US,2022-05-10 02:40:40,20.8947,-156.47,82.42,67,40,24.16
72,Grand Gaube,MU,2022-05-10 02:42:51,-20.0064,57.6608,74.37,89,22,12.75
73,Verkhniy Uslon,RU,2022-05-10 02:42:52,55.7701,48.9823,57.42,63,100,6.2
74,Asau,RO,2022-05-10 02:42:52,46.4333,26.4,51.96,100,100,2.62
75,Chuy,UY,2022-05-10 02:42:52,-33.6971,-53.4616,59.54,96,100,3.36
76,New Norfolk,AU,2022-05-10 02:42:53,-42.7826,147.0587,63.91,57,8,1.01
77,Hilo,US,2022-05-10 02:42:53,19.7297,-155.09,80.33,69,100,9.22
78,Kalanguy,RU,2022-05-10 02:42:54,51.0167,116.5167,36.39,58,100,16.51
79,Kataysk,RU,2022-05-10 02:42:54,56.289,62.5841,56.95,44,98,14.94
80,Bengkulu,ID,2022-05-10 02:42:55,-3.8004,102.2655,85.41,66,81,1.86
81,Garissa,KE,2022-05-10 02:42:55,-0.4536,39.6401,76.66,83,90,11.88
82,Torbay,CA,2022-05-10 02:42:56,47.6666,-52.7314,32.76,68,20,7.0
83,Fortuna,US,2022-05-10 02:42:56,40.5982,-124.1573,50.67,78,40,0.0
84,Norman Wells,CA,2022-05-10 02:42:57,65.282,-126.8329,48.24,27,75,16.11
85,Zhigansk,RU,2022-05-10 02:42:57,66.7697,123.3711,23.72,70,77,6.76
86,Kulhudhuffushi,MV,2022-05-10 02:42:58,6.6221,73.07,84.83,71,100,19.64
87,Kutum,SD,2022-05-10 02:42:58,14.2,24.6667,73.09,13,39,5.32
88,Cape Town,ZA,2022-05-10 02:43:36,-33.9258,18.4232,53.11,93,0,5.75
89,Sistranda,NO,2022-05-10 02:43:59,63.7256,8.834,46.36,80,100,10.29
90,Grong,NO,2022-05-10 02:44:00,64.4654,12.3149,39.69,87,100,3.09
91,Hasaki,JP,2022-05-10 02:44:00,35.7333,140.8333,68.29,65,100,19.1
92,Labuhan,ID,2022-05-10 02:44:01,-6.8844,112.2051,84.94,77,100,7.09
93,Qaanaaq,GL,2022-05-10 02:44:01,77.484,-69.3632,14.29,58,0,6.8
94,Cabo San Lucas,MX,2022-05-10 02:44:01,22.8909,-109.9124,80.91,62,0,3.44
95,San Patricio,US,2022-05-10 02:44:02,28.017,-97.5169,82.83,90,10,14.14
96,Puerto Ayora,EC,2022-05-10 02:44:03,-0.7393,-90.3518,71.55,97,28,8.28
97,Ahipara,NZ,2022-05-10 02:44:03,-35.1667,173.1667,65.89,69,6,13.22
98,Nemuro,JP,2022-05-10 02:44:04,43.3236,145.575,49.6,71,46,10.2
99,Bereda,ES,2022-05-10 02:44:04,43.2686,-7.5406,53.42,82,100,0.54
100,Paraiso,CR,2022-05-10 02:41:04,9.8383,-83.8656,69.42,95,80,1.86
101,Slonim,BY,2022-05-10 02:44:05,53.0867,25.3219,37.87,75,36,3.91
102,Rio Grande,BR,2022-05-10 02:42:04,-32.035,-52.0986,63.45,91,100,11.1
103,Sobolevo,RU,2022-05-10 02:44:06,54.4299,31.8996,33.73,77,4,6.26
104,Morant Bay,JM,2022-05-10 02:44:06,17.8815,-76.4093,82.02,84,8,7.87
105,Dunedin,NZ,2022-05-10 02:41:21,-45.8742,170.5036,50.81,74,100,3.0
106,Pyaozerskiy,RU,2022-05-10 02:44:07,65.8333,31.1667,38.89,77,100,13.96
107,Tezu,IN,2022-05-10 02:44:07,27.9167,96.1667,74.1,82,100,0.87
108,Albany,US,2022-05-10 02:41:36,42.6001,-73.9662,59.65,32,11,3.94
109,Telimele,GN,2022-05-10 02:44:08,10.9167,-13.3333,72.9,92,82,1.92
110,Dingle,PH,2022-05-10 02:44:09,10.9995,122.6711,88.61,59,100,10.65
111,Lorengau,PG,2022-05-10 02:44:09,-2.0226,147.2712,85.71,69,97,10.96
112,Pacific Grove,US,2022-05-10 02:44:10,36.6177,-121.9166,55.51,72,0,13.8
113,Presidencia Roque Saenz Pena,AR,2022-05-10 02:44:10,-26.7852,-60.4388,56.97,97,17,1.52
114,Vila Velha,BR,2022-05-10 02:44:11,-20.3297,-40.2925,71.55,73,0,8.05
115,Rafai,CF,2022-05-10 02:44:11,4.95,23.9167,67.86,98,100,1.68
116,Dudinka,RU,2022-05-10 02:44:12,69.4058,86.1778,36.63,99,100,16.62
117,Saint-Pierre,RE,2022-05-10 02:44:12,-21.3393,55.4781,69.48,68,0,6.91
118,Namibe,AO,2022-05-10 02:44:13,-15.1961,12.1522,73.81,54,1,6.55
119,Victoria,HK,2022-05-10 02:44:13,22.2855,114.1577,83.97,90,97,8.01
120,Ucluelet,CA,2022-05-10 02:44:14,48.9329,-125.5528,51.1,78,20,1.99
121,Abu Samrah,SY,2022-05-10 02:44:14,35.3029,37.1841,59.02,46,0,5.44
122,Klaksvik,FO,2022-05-10 02:44:15,62.2266,-6.589,45.52,92,100,14.27
123,Sarahan,IN,2022-05-10 02:44:16,31.5167,77.8,65.79,47,16,3.06
124,Waddan,LY,2022-05-10 02:44:16,29.1614,16.139,63.43,53,100,9.42
125,Jamestown,US,2022-05-10 02:44:17,42.097,-79.2353,65.84,20,0,9.22
126,Barra,BR,2022-05-10 02:44:17,-11.0894,-43.1417,76.3,61,97,5.5
127,Coquimbo,CL,2022-05-10 02:44:18,-29.9533,-71.3436,58.73,82,0,0.0
128,Isangel,VU,2022-05-10 02:44:18,-19.55,169.2667,78.64,65,72,16.13
129,Palmer,US,2022-05-10 02:44:19,42.1584,-72.3287,51.17,29,20,8.05
130,Kodiak,US,2022-05-10 02:44:19,57.79,-152.4072,47.71,43,0,28.77
131,Hithadhoo,MV,2022-05-10 02:44:20,-0.6,73.0833,84.67,77,34,19.35
132,Khandyga,RU,2022-05-10 02:44:20,62.6667,135.6,34.86,75,100,3.31
133,Tuktoyaktuk,CA,2022-05-10 02:44:21,69.4541,-133.0374,41.0,60,100,8.05
134,Ambulu,ID,2022-05-10 02:44:21,-8.345,113.6058,84.58,77,18,5.08
135,Port Elizabeth,ZA,2022-05-10 02:42:25,-33.918,25.5701,54.32,98,0,4.61
136,Vardo,NO,2022-05-10 02:45:22,70.3705,31.1107,35.58,93,100,12.66
137,Corinto,GR,2022-05-10 02:45:23,37.9407,22.9573,54.41,52,5,2.98
138,Shingu,JP,2022-05-10 02:45:23,33.7333,135.9833,61.23,89,100,8.93
139,Upernavik,GL,2022-05-10 02:45:24,72.7868,-56.1549,24.93,97,100,3.98
140,Geneva,US,2022-05-10 02:45:24,41.8875,-88.3054,75.54,68,0,21.85
141,Kirakira,SB,2022-05-10 02:45:24,-10.4544,161.9205,84.43,77,48,10.69
142,Mutoko,ZW,2022-05-10 02:45:25,-17.397,32.2268,56.77,86,12,2.89
143,Negara,ID,2022-05-10 02:45:25,-8.3151,114.6025,83.64,81,33,6.87
144,Katsuura,JP,2022-05-10 02:45:26,35.1333,140.3,62.8,62,100,17.13
145,Jacksonville Beach,US,2022-05-10 02:43:24,30.2947,-81.3931,66.04,76,0,13.8
146,Makakilo City,US,2022-05-10 02:45:27,21.3469,-158.0858,82.72,55,75,14.97
147,Ca Mau,VN,2022-05-10 02:45:28,9.1769,105.15,89.37,62,91,7.25
148,Tanete,ID,2022-05-10 02:45:29,-3.9443,119.7848,83.14,79,100,5.44
149,Ponta Do Sol,PT,2022-05-10 02:45:29,32.6667,-17.1,70.43,33,0,5.3
150,Grindavik,IS,2022-05-10 02:45:30,63.8424,-22.4338,39.67,81,0,20.71
151,Pivdenne,UA,2022-05-10 02:45:30,49.8814,36.07,39.81,66,11,5.93
152,Olinda,BR,2022-05-10 02:45:31,-8.0089,-34.8553,76.73,88,75,6.91
153,Rosetta,EG,2022-05-10 02:45:31,31.4044,30.4164,64.83,73,0,4.16
154,Mar Del Plata,AR,2022-05-10 02:42:25,-38.0023,-57.5575,54.88,84,40,5.75
155,Kosa,RU,2022-05-10 02:45:32,59.9445,54.9977,51.37,58,100,4.09
156,Sitka,US,2022-05-10 02:45:33,57.0531,-135.33,48.09,66,100,8.05
157,Ust-Nera,RU,2022-05-10 02:45:33,64.5667,143.2,34.68,80,92,5.7
158,Iqaluit,CA,2022-05-10 02:45:34,63.7506,-68.5145,33.53,80,100,0.0
159,Syamzha,RU,2022-05-10 02:45:35,60.0158,41.0614,34.65,73,7,9.01
160,Sao Filipe,CV,2022-05-10 02:45:36,14.8961,-24.4956,72.01,82,18,6.89
161,Metlika,SI,2022-05-10 02:45:36,45.6472,15.3142,49.89,96,28,2.39
162,Bassar,TG,2022-05-10 02:45:37,9.25,0.7833,70.21,88,100,4.0
163,Virden,US,2022-05-10 02:45:37,39.5009,-89.7679,75.09,76,0,18.28
164,Kavieng,PG,2022-05-10 02:45:38,-2.5744,150.7967,85.82,65,79,16.64
165,Sao Miguel Do Araguaia,BR,2022-05-10 02:45:38,-13.275,-50.1628,73.78,61,7,2.62
166,Tiksi,RU,2022-05-10 02:45:39,71.6872,128.8694,17.04,81,63,9.95
167,Nacogdoches,US,2022-05-10 02:45:40,31.6002,-94.6335,80.46,82,0,9.93
168,Mahebourg,MU,2022-05-10 02:45:40,-20.4081,57.7,74.25,100,75,5.75
169,Myitkyina,MM,2022-05-10 02:45:41,25.3833,97.4,80.29,78,96,0.98
170,Chokurdakh,RU,2022-05-10 02:45:41,70.6333,147.9167,23.29,92,100,18.43
171,Tautira,PF,2022-05-10 02:45:42,-17.7333,-149.15,80.73,79,43,14.94
172,Bonthe,SL,2022-05-10 02:45:43,7.5264,-12.505,77.61,89,89,5.37
173,Pavlohrad,UA,2022-05-10 02:45:43,48.5167,35.8667,41.11,75,5,5.53
174,Grand-Santi,GF,2022-05-10 02:45:44,4.25,-54.3833,71.55,99,56,2.26
175,Puerto Triunfo,CO,2022-05-10 02:45:45,5.8726,-74.6403,74.88,98,100,0.98
176,Benalla,AU,2022-05-10 02:45:45,-36.55,145.9833,66.85,43,14,2.33
177,Tynda,RU,2022-05-10 02:45:46,55.1667,124.7167,49.51,52,97,6.98
178,Mehamn,NO,2022-05-10 02:45:47,71.0357,27.8492,33.71,92,100,4.9
179,Bambous Virieux,MU,2022-05-10 02:45:47,-20.3428,57.7575,74.21,100,75,5.75
180,Vaitape,PF,2022-05-10 02:46:48,-16.5167,-151.75,82.02,75,10,15.64
181,Altay,CN,2022-05-10 02:46:48,47.8667,88.1167,57.24,22,54,3.71
182,Tasiilaq,GL,2022-05-10 02:46:49,65.6145,-37.6368,33.96,66,88,1.07
183,Rorvik,NO,2022-05-10 02:46:49,64.8621,11.2373,44.31,81,100,8.57
184,Yenagoa,NG,2022-05-10 02:46:50,4.9247,6.2642,76.03,93,100,3.47
185,Krasnoarmeysk,RU,2022-05-10 02:46:50,51.0239,45.6969,41.97,70,100,23.11
186,Takhtamygda,RU,2022-05-10 02:46:51,54.1,123.5667,48.0,43,95,14.38
187,Esmeraldas,BR,2022-05-10 02:46:51,-19.7625,-44.3139,63.46,81,0,4.0
188,Fare,PF,2022-05-10 02:46:52,-16.7,-151.0167,81.84,75,1,15.64
189,Labuan,MY,2022-05-10 02:46:52,5.2767,115.2417,84.56,83,20,2.3
190,Walvis Bay,NA,2022-05-10 02:46:53,-22.9575,14.5053,67.15,32,0,3.44
191,Acajutla,SV,2022-05-10 02:46:53,13.5928,-89.8275,81.95,75,85,0.81
192,Tura,IN,2022-05-10 02:46:54,25.5198,90.2201,72.55,92,94,3.69
193,San Andres,CO,2022-05-10 02:46:54,12.5847,-81.7006,82.42,78,20,5.75
194,Ancud,CL,2022-05-10 02:46:55,-41.8697,-73.8203,44.71,87,42,4.65
195,Rio Gallegos,AR,2022-05-10 02:46:55,-51.6226,-69.2181,39.25,93,0,14.97
196,Lathrop,US,2022-05-10 02:46:56,37.8227,-121.2766,58.24,48,34,15.1
197,Daru,PG,2022-05-10 02:46:56,-9.0763,143.2092,86.05,74,100,6.26
198,Vitim,RU,2022-05-10 02:46:57,59.4511,112.5578,37.04,51,89,7.94
199,Taoudenni,ML,2022-05-10 02:46:59,22.6783,-3.9836,82.69,14,1,11.74
200,Poum,NC,2022-05-10 02:47:00,-20.2333,164.0167,77.97,68,9,12.39
201,Yar-Sale,RU,2022-05-10 02:47:01,66.8333,70.8333,29.7,97,100,10.54
202,Nanortalik,GL,2022-05-10 02:47:01,60.1432,-45.2371,34.18,88,77,2.84
203,Wanaka,NZ,2022-05-10 02:42:33,-44.7,169.15,53.46,60,7,2.3
204,Solvychegodsk,RU,2022-05-10 02:47:03,61.3305,46.9156,36.72,79,100,9.24
205,Touros,BR,2022-05-10 02:47:03,-5.1989,-35.4608,74.95,91,58,10.8
206,Sao Joao Da Barra,BR,2022-05-10 02:47:04,-21.6403,-41.0511,66.07,81,1,11.07
207,Zabol,AF,2022-05-10 02:47:05,32.25,67.25,76.71,15,0,4.7
208,Shimoda,JP,2022-05-10 02:47:05,34.6667,138.95,66.56,62,100,15.61
209,Ugoofaaru,MV,2022-05-10 02:47:06,5.6667,73.0,84.83,70,100,18.68
210,Marawi,PH,2022-05-10 02:47:07,7.9986,124.2928,79.59,79,81,3.62
211,Haapiti,PF,2022-05-10 02:47:07,-17.5667,-149.8667,83.93,75,6,14.74
212,Ossora,RU,2022-05-10 02:47:08,59.2353,163.0719,33.35,100,100,3.24
213,Vestmannaeyjar,IS,2022-05-10 02:47:09,63.4427,-20.2734,44.02,79,100,12.73
214,Skibbereen,IE,2022-05-10 02:47:09,51.55,-9.2667,54.1,84,73,19.1
215,Hervey Bay,AU,2022-05-10 02:47:10,-25.2986,152.8535,74.01,86,100,5.01
216,Hermanus,ZA,2022-05-10 02:47:11,-34.4187,19.2345,56.41,56,87,2.57
217,Nago,JP,2022-05-10 02:47:12,26.5881,127.9761,79.65,73,97,2.71
218,Esperance,AU,2022-05-10 02:47:12,-33.8667,121.9,75.04,36,100,14.5
219,Cherskiy,RU,2022-05-10 02:47:13,68.75,161.3,34.86,98,100,15.99
220,Ayodhya,IN,2022-05-10 02:47:13,26.8,82.2,94.6,33,0,12.82
221,Amsterdam,NL,2022-05-10 02:45:18,52.374,4.8897,60.85,64,0,8.05
222,Salalah,OM,2022-05-10 02:42:28,17.0151,54.0924,80.69,74,0,2.3
223,Miranda,CO,2022-05-10 02:45:27,3.2499,-76.2281,68.13,94,100,2.19
224,Trinidad,BO,2022-05-10 02:47:14,-14.8333,-64.9,73.09,86,1,1.66
225,Jidong,CN,2022-05-10 02:47:15,45.2167,131.0833,75.58,17,6,13.91
226,Ville-Marie,CA,2022-05-10 02:47:16,47.3335,-79.433,56.73,59,76,10.94
227,Puri,IN,2022-05-10 02:48:16,19.8,85.85,84.72,76,91,13.22
228,Bayanday,RU,2022-05-10 02:48:17,53.0661,105.5139,38.48,30,100,16.28
229,Misratah,LY,2022-05-10 02:48:17,32.3754,15.0925,62.47,80,42,4.83
230,Nsanje,MW,2022-05-10 02:48:18,-16.92,35.262,64.47,96,1,2.1
231,Malgrat De Mar,ES,2022-05-10 02:48:18,41.6466,2.7414,63.1,78,0,3.78
232,Codrington,AU,2022-05-10 02:48:19,-38.2667,141.9667,62.46,50,15,5.93
233,Severobaykalsk,RU,2022-05-10 02:48:19,55.65,109.3167,35.53,51,99,7.49
234,Pinheiral,BR,2022-05-10 02:48:20,-22.5128,-44.0006,57.74,96,34,0.67
235,Damghan,IR,2022-05-10 02:48:20,36.1683,54.348,58.42,54,1,1.12
236,Flinders,AU,2022-05-10 02:48:21,-34.5833,150.8552,69.19,86,98,5.99
237,Rapid Valley,US,2022-05-10 02:45:28,44.0625,-103.1463,52.0,67,0,9.22
238,Bad Freienwalde,DE,2022-05-10 02:46:21,52.7873,14.0304,54.45,71,7,6.51
239,Pisco,PE,2022-05-10 02:48:21,-13.7,-76.2167,64.02,82,0,4.61
240,Nome,US,2022-05-10 02:48:22,64.5011,-165.4064,33.87,75,0,19.57
241,Corbelia,BR,2022-05-10 02:48:22,-24.7989,-53.3067,60.15,91,2,3.09
242,Sabha,LY,2022-05-10 02:48:23,27.0377,14.4283,69.44,32,64,14.38
243,Ambovombe,MG,2022-05-10 02:48:23,-25.1667,46.0833,66.4,92,6,9.66
244,Sur,OM,2022-05-10 02:48:24,22.5667,59.5289,89.2,43,1,0.89
245,Tyrma,RU,2022-05-10 02:48:24,50.0833,132.1667,73.02,19,37,12.12
246,Kavaratti,IN,2022-05-10 02:48:25,10.5669,72.642,85.41,74,100,20.0
247,Anadyr,RU,2022-05-10 02:48:25,64.75,177.4833,41.5,52,0,15.66
248,Mvangue,CM,2022-05-10 02:48:26,2.9667,11.5167,66.99,95,100,1.68
249,Portland,US,2022-05-10 02:43:28,45.5234,-122.6762,52.21,74,20,4.61
250,Jiexiu,CN,2022-05-10 02:48:27,37.0244,111.9125,66.49,50,6,6.91
251,Mabama,TZ,2022-05-10 02:48:27,-5.1333,32.5333,69.55,66,93,3.2
252,Cidreira,BR,2022-05-10 02:48:27,-30.1811,-50.2056,66.15,87,8,13.13
253,Kalachinsk,RU,2022-05-10 02:48:28,55.0529,74.5751,61.5,40,30,11.32
254,Qiyang,CN,2022-05-10 02:48:28,26.5911,111.8474,63.7,88,99,6.8
255,Narsimhapur,IN,2022-05-10 02:48:29,22.95,79.2,94.73,22,16,6.17
256,Chushan,CN,2022-05-10 02:48:29,33.2955,113.6528,66.34,57,25,2.66
257,Westport,US,2022-05-10 02:45:29,41.1415,-73.3579,55.74,20,0,18.41
258,Longyearbyen,SJ,2022-05-10 02:48:30,78.2186,15.6401,19.24,63,75,11.5
259,Gamba,GA,2022-05-10 02:48:30,-2.65,10.0,77.99,92,100,5.68
260,Ciudad Del Maiz,MX,2022-05-10 02:48:31,22.4,-99.6,70.25,85,26,5.26
261,Nuuk,GL,2022-05-10 02:48:31,64.1835,-51.7216,32.61,86,100,27.63
262,Lompoc,US,2022-05-10 02:48:32,34.6391,-120.4579,56.79,65,0,16.11
263,Namwala,ZM,2022-05-10 02:48:32,-15.7504,26.4384,59.14,63,1,2.01
264,Shubarshi,KZ,2022-05-10 02:48:33,48.5872,57.1869,50.52,87,99,18.32
265,Brindisi,IT,2022-05-10 02:44:21,40.5833,17.6667,60.78,80,98,8.95
266,Ilulissat,GL,2022-05-10 02:48:33,69.2167,-51.1,23.02,80,100,21.85
267,Geraldton,AU,2022-05-10 02:48:34,-28.7667,114.6,73.81,68,40,9.22
268,Gravdal,NO,2022-05-10 02:48:34,68.1214,13.5031,42.22,93,100,23.76
